Model,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
,Dice class 0,0.6788265986,0.967393284,0.9665998527,0.8648424585,0.9665979744,0.9673814225,0.1441615035,0.1126819084,0.1284217059
Unet with efficentnetb4 ,Dice class 1,0.6688873038,0.9355225525,0.9392040677,0.6161176963,0.93919469,0.9421809473,,,
Params:,Dice class 2,0.1728180411,0.5921837369,0.6007110024,0.1705115583,0.6007130695,0.6025794023,0.4346747731,0.4734538926,0.4540643329
25735452,Dice class 3,0.1916785875,0.5267731445,0.5627286642,0.1920822664,0.5627218154,0.5644103435,,,
Inference time:,Dice avg,0.4280526328,0.7554681795,0.7673108967,0.4608884949,0.7673068873,0.7691380289,0.2894181383,0.2930679005,0.2912430194
0.01833689271,Mean IoU,0.4538191855,0.743429482,0.7509386539,0.5505779982,0.750929296,0.7573227286,0.2403655052,0.1959703565,0.2181679308
,Accuracy,0.8415271044,0.9543546438,0.9520736337,0.8794837594,0.9520688057,0.9534231424,0.408036232,0.3531794548,0.3806078434
,Rmse,0.7780827284,0.4377975464,0.4388051629,0.6018160582,0.4388185441,0.4307700694,0.7680594921,0.8037617803,0.7859106362
,,,,,,,,,,
,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
,Dice class 0,0.8748166835,0.9596429191,0.9586098795,0.8609933611,0.9586098795,0.959233153,0.7919970522,0.6794646584,0.7357308553
Unet with mobilenetv2,Dice class 1,0.8145342302,0.94643559,0.9391185872,0.61393151,0.9391185872,0.9420475688,,,
Params:,Dice class 2,0.2438591349,0.4669942624,0.4679740788,0.1970831946,0.4679740788,0.4693753277,0.6411996979,0.5849261368,0.6130629173
8047876,Dice class 3,0.2927247819,0.4747067219,0.5041912636,0.1511694606,0.5041912636,0.5050025486,,,
Inference time:,Dice avg,0.5564837076,0.7119448734,0.7174734523,0.4557943816,0.7174734523,0.7189146495,0.716598375,0.6321953976,0.6743968863
0.01800867166,Mean IoU,0.5220793486,0.6882376075,0.6884855628,0.5301188827,0.6884855628,0.6925090551,0.5974542499,0.4975423515,0.5474983007
,Accuracy,0.8949583769,0.9441952705,0.9389290214,0.8742195964,0.9389290214,0.9401746988,0.767355442,0.6706354618,0.7189954519
,Rmse,0.8095501065,0.5235462785,0.5176885128,0.6402028203,0.5176885128,0.5128244758,0.4818749428,0.573356688,0.5276158154
,,,,,,,,,,
,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
,Dice class 0,0.9190243228,0.9714342819,0.970756324,0.8664507386,0.970756324,0.9711215054,0.8519664387,0.8739036835,0.8629350611
Unet with seresnet18,Dice class 1,0.8769893219,0.9684406352,0.9628058206,0.6331219999,0.9628058206,0.9657815686,,,
Params: ,Dice class 2,0.2438900214,0.5901961377,0.5982230194,0.1584648904,0.5982230194,0.6001205915,0.5072270516,0.6244414619,0.5658342567
14430085,Dice class 3,0.2728062228,0.5763446017,0.6079847108,0.1809802274,0.6079847108,0.6097525248,,,
Inference time:,Dice avg,0.5781774722,0.7766039141,0.7849424687,0.4597544641,0.7849424687,0.7866940476,0.6795967451,0.7491725727,0.7143846589
0.01816986444,Mean IoU,0.5685572624,0.7662207484,0.7874503732,0.5712854862,0.7874503732,0.7896665335,0.5492543578,0.658018291,0.6036363244
,Accuracy,0.9274984598,0.9610793591,0.9607304931,0.8855907321,0.9607304931,0.9614905119,0.7744171619,0.8300771117,0.8022471368
,Rmse,0.5717462301,0.4224688113,0.4073889256,0.5834980011,0.4073889256,0.4063048065,0.4738799036,0.4120205939,0.4429502487
,,,,,,,,,,
,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
,Dice class 0,0.919612029,0.952019533,0.9498552843,0.8592031336,0.9498552843,0.9510025453,0.8537227449,0.8210479071,0.837385326
Unet with VGG16,Dice class 1,0.7085862963,0.9151234551,0.9078917043,0.5943724033,0.9078917043,0.9105853134,,,
Params:,Dice class 2,0.3080255984,0.4710087969,0.4855374836,0.1776322637,0.4855374836,0.4868990531,0.5303160057,0.5237858454,0.5270509256
23752708,Dice class 3,0.2918457848,0.4697831963,0.510923185,0.1738086947,0.510923185,0.5124771951,,,
Inference time:,Dice avg,0.5570174271,0.7019837453,0.7135519143,0.4512541238,0.7135519143,0.7152410267,0.6920193753,0.6724168762,0.6822181258
0.01819988382,Mean IoU,0.5571526289,0.6829481721,0.6821132302,0.5267390609,0.6821132302,0.6909543872,0.6483348012,0.5214055181,0.5848701596
,Accuracy,0.9264011383,0.9343526959,0.9279261231,0.8681468964,0.9279261231,0.931961,0.8197050095,0.7246257663,0.7721653879
,Rmse,0.5866268873,0.4798326194,0.4890918732,0.5969874263,0.4890918732,0.4806579649,0.4210640192,0.5234133601,0.4722386897
,,,,,,,,,,
,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
,Dice class 0,0.8113706194,0.9668710366,0.9665818497,0.8698742113,0.9665818497,0.9670072562,0.8211461105,0.8113077793,0.8162269449
Unet with mobilenet,Dice class 1,0.8772167194,0.9567829581,0.951035657,0.6228194832,0.951035657,0.956578903,,,
Params:,Dice class 2,0.179293701,0.534972016,0.5457260094,0.1764353374,0.5457260094,0.5554782627,0.5079881431,0.531544802,0.5197664726
8336772,Dice class 3,0.2506339823,0.5057351099,0.5482905131,0.1848758424,0.5482905131,0.5255573554,,,
Inference time:,Dice avg,0.5296287555,0.7410902802,0.7529085073,0.4635012186,0.7529085073,0.7511554444,0.6645671268,0.6714262907,0.6679967087
0.01793719322,Mean IoU,0.5298549533,0.7282077074,0.7483122945,0.5655425191,0.7483122945,0.7522513866,0.6166262031,0.5541391969,0.5853827
,Accuracy,0.8671461344,0.9548290968,0.9544926882,0.8884384632,0.9544926882,0.9553154707,0.8001492023,0.7585979104,0.7793735564
,Rmse,0.9397708178,0.4449727833,0.4398129284,0.5676679015,0.4398129284,0.4355086684,0.4447979033,0.4908561707,0.467827037
,,,,,,,,,,
,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
,Dice class 0,0.8570213397,0.9600808356,0.96025235678774,0.9604081249,0.9607847661,0.9607847661,0.8247637728,0.8226201569,0.8236919649
Linknet with mobilenet,Dice class 1,0.6785069809,0.9210150252,0.921567711501664,0.9237218594,0.9245345121,0.9245345121,,,
Params:,Dice class 2,0.2892495824,0.5844390588,0.574170891532494,0.4544779235,0.5759084818,0.5759084818,0.3310591253,0.3647745199,0.3479168226
4546500,Dice class 3,0.3565548359,0.5133845477,0.519362492904945,0.4969667195,0.5208645439,0.5208645439,,,
